stage,group,window,region,seeds,bandwidth_mhz_count,bandwidth_mhz_minimum,bandwidth_mhz_median,bandwidth_mhz_p95,bandwidth_mhz_maximum,bandwidth_error_vs_numpy_bins_count,bandwidth_error_vs_numpy_bins_minimum,bandwidth_error_vs_numpy_bins_median,bandwidth_error_vs_numpy_bins_p95,bandwidth_error_vs_numpy_bins_maximum,flags,observation_scope
s3_refinement,alpha0.7,rect,edge,"[91001, 91002, 91003]",6,70.227051,70.5078125,70.72448725,70.751953,6,-2.048e-05,1.024e-05,1.984e-05,2.048e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha0.7,rect,steady,"[91001, 91002, 91003]",6,70.324707,70.471191,70.61462425,70.617676,6,-3.84e-05,-5.12e-06,1.984e-05,2.048e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha0.8,hann,edge,"[91001, 91002, 91003]",6,73.840332,74.255371,74.75280725,74.768066,6,-3.584e-05,-2.048e-05,1.4720000000000001e-05,2.048e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha0.8,hann,steady,"[91001, 91002, 91003]",6,73.999023,74.21875,74.55139175000001,74.572754,6,-3.584e-05,1.024e-05,3.328e-05,3.584e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha0.8,rect,edge,"[91001, 91002, 91003]",6,73.840332,74.27368200000001,74.633789,74.633789,6,-3.84e-05,-3.8400000000000005e-06,3.392e-05,3.84e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha0.8,rect,steady,"[91001, 91002, 91003]",6,74.09668,74.2248535,74.5178225,74.523926,6,-2.56e-06,1.664e-05,2.4959999999999998e-05,2.56e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha0.9,hann,edge,"[91001, 91002, 91003]",6,77.478027,77.95410150000001,78.06091325,78.063965,6,-2.816e-05,1.152e-05,1.536e-05,1.536e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha0.9,hann,steady,"[91001, 91002, 91003]",6,77.600098,77.94799850000001,78.112793,78.125,6,0.0,1.92e-05,3.776e-05,3.84e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha0.9,rect,edge,"[91001, 91002, 91003]",6,77.67334,77.905273,77.990723,78.00293,6,-3.84e-05,-5.12e-06,3.328e-05,3.584e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha0.9,rect,steady,"[91001, 91002, 91003]",6,77.612305,77.84423799999999,78.1921385,78.234863,6,-2.816e-05,-1.024e-05,2.24e-05,2.56e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha1.0,hann,edge,"[91001, 91002, 91003]",6,81.25,81.57959,81.98242175,82.043457,6,-3.328e-05,2.56e-06,3.2000000000000005e-05,3.584e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha1.0,hann,steady,"[91001, 91002, 91003]",6,81.335449,81.6589355,81.92749025,81.970215,6,-3.328e-05,-3.84e-06,1.664e-05,1.792e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha1.0,rect,edge,"[91001, 91002, 91003]",6,81.420898,81.79321300000001,82.07397449999999,82.080078,6,-3.584e-05,-7.680000000000001e-06,3.0079999999999997e-05,3.072e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha1.0,rect,steady,"[91001, 91002, 91003]",6,81.445313,81.5734865,81.70471175,81.713867,6,-1.536e-05,1.408e-05,4.096e-05,4.096e-05,"[""""]","[""finite_window""]"
s3_refinement_continuous,alpha0.7,hann,edge,[91001],2,70.507813,70.6848145,70.84411585000001,70.861816,2,-3.328e-05,3.8400000000000005e-06,3.7248e-05,4.096e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha0.7,hann,steady,[91001],2,70.117188,70.440674,70.7318114,70.76416,2,-1.28e-05,1.408e-05,3.8271999999999995e-05,4.096e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha0.7,rect,edge,[91001],2,70.410156,70.5078125,70.59570335,70.605469,2,-2.048e-05,0.0,1.8432e-05,2.048e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha0.7,rect,steady,[91001],2,70.349121,70.48339849999999,70.60424825,70.617676,2,-7.68e-06,5.120000000000001e-06,1.664e-05,1.792e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha0.8,hann,edge,[91001],2,73.840332,73.88305650000001,73.92150855,73.925781,2,-2.048e-05,-1.152e-05,-3.456000000000001e-06,-2.56e-06,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha0.8,hann,steady,[91001],2,74.047852,74.1638185,74.26818835,74.279785,2,-1.28e-05,1.1520000000000002e-05,3.3408e-05,3.584e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha0.8,rect,edge,[91001],2,73.840332,73.925781,74.0026851,74.01123,2,-3.84e-05,-2.048e-05,-4.352000000000002e-06,-2.56e-06,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha0.8,rect,steady,[91001],2,74.09668,74.298096,74.4793704,74.499512,2,2.304e-05,2.4319999999999998e-05,2.5472e-05,2.56e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha0.9,hann,edge,[91001],2,77.478027,77.7648925,78.02307145,78.051758,2,-2.816e-05,-6.400000000000001e-06,1.3183999999999996e-05,1.536e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha0.9,hann,steady,[91001],2,77.600098,77.7771,77.9364018,77.954102,2,2.816e-05,3.2000000000000005e-05,3.5456e-05,3.584e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha0.9,rect,edge,[91001],2,77.67334,77.75878900000001,77.8356931,77.844238,2,-2.304e-05,-5.12e-06,1.1007999999999999e-05,1.28e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha0.9,rect,steady,[91001],2,77.612305,77.7160645,77.80944805,77.819824,2,-1.792e-05,3.839999999999999e-06,2.3423999999999998e-05,2.56e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha1.0,hann,edge,[91001],2,81.25,81.43310550000001,81.59790045000001,81.616211,2,0.0,2.56e-06,4.8639999999999995e-06,5.12e-06,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha1.0,hann,steady,[91001],2,81.640625,81.80542,81.9537355,81.970215,2,0.0,6.4e-06,1.2159999999999999e-05,1.28e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha1.0,rect,edge,[91001],2,81.70166,81.89086900000001,82.0611571,82.080078,2,-1.28e-05,-1.152e-05,-1.0368e-05,-1.024e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_refinement_continuous,alpha1.0,rect,steady,[91001],2,81.445313,81.55517599999999,81.6540527,81.665039,2,-5.12e-06,1.792e-05,3.8656e-05,4.096e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_widest_60s,alpha1.0_support100mhz_candidate_actual80mhz,hann,edge,[91001],2,81.25,81.43310550000001,81.59790045000001,81.616211,2,0.0,2.56e-06,4.8639999999999995e-06,5.12e-06,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_widest_60s,alpha1.0_support100mhz_candidate_actual80mhz,hann,steady,[91001],2,81.640625,81.80542,81.9537355,81.970215,2,0.0,6.4e-06,1.2159999999999999e-05,1.28e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
